Wallet,Pattern ID,Role,Date Decouverte,Score Initial,Score Qualify,Statut,Date Debut Surveillance,Jours Suivis,Nb Trades,PnL (SOL),PnL (USD),Win Rate (%),Lien Tracker,Date Decision,Notes
9XanX9kfcT9ZVYMdYmqmDhBnRmkovsm7gtWAEx8KdbvF,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"Funded by: GSKUyeut4HKYx5HkWTcF699yUaxeAgGwuEUFiQ6DBxc2 (0.705575399 SOL). funding source is a generic wallet (not a named CEX), not a reusable CEX method"
8Ltv5royXzxVG3tAhVhRnfXrzapS5Dwqt1ocxprgu6YP,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"Funded by: BnKpn3UeeEGiQXtXRcmx5AemLG1dQj2mohs7d1rTf9uF (10.74 SOL). funding source is a generic wallet (not a named CEX), not a reusable CEX method"
7cWpF6NeGueFa6JXDrTQmApinoHjyfsh5kaAXDaeoEy8,,createur,2026-08-06,100,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 2 tokens seul (dev_tokens=2) -- jamais un pattern CEX valide, meme score eleve"
Dm2U8z5f9FWd1JUmDijCMPkP96URAeBEX17oo5Udrd64,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 10 tokens seul (dev_tokens=10) -- jamais un pattern CEX valide, meme score eleve"
F3nEommdrJkufpVcpgmuEYKhXrmsgSUNwMQMfnrUjNF9,,createur,2026-08-06,100,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 15 tokens seul (dev_tokens=15) -- jamais un pattern CEX valide, meme score eleve"
BHREKFkPQgAtDs8Vb1UfLkUpjG6ScidTjHaCWFuG2AtX,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 5 tokens seul (dev_tokens=5) -- jamais un pattern CEX valide, meme score eleve"
F1JSFQNS2dPy4gtzjuTTqVPg2Y2yLF1gv9mzyKPZX5yb,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 7 tokens seul (dev_tokens=7) -- jamais un pattern CEX valide, meme score eleve"
9imZtERBx9UTyEFpqGRgsMesEcJBSDfs3uS6kdakTWHz,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 10 tokens seul (dev_tokens=10) -- jamais un pattern CEX valide, meme score eleve"
FBpQd1cW5a2MorxY8XtxpJdWb5QiF5weVRhKVhsvNMRB,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 4 tokens seul (dev_tokens=4) -- jamais un pattern CEX valide, meme score eleve"
DwCp9GZw3ueoXPykHSPUkRZEwcTVbJH2i9Sf1cXYicWf,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 7 tokens seul (dev_tokens=7) -- jamais un pattern CEX valide, meme score eleve"
GQZiEnLHLibzh3VvtpuGj3frvif727ux9aqZ3A9GjuZ5,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 4 tokens seul (dev_tokens=4) -- jamais un pattern CEX valide, meme score eleve"
EHyi9efoaRreCVT6YF3wkU8CcN3UAWLKzS4ajJ8jEHEJ,,createur,2026-08-06,100,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 2 tokens seul (dev_tokens=2) -- jamais un pattern CEX valide, meme score eleve"
6nBCFv8spyVsPwrGct1c3DxFDrCHGnPbDAZpU8kxu4fW,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 3 tokens seul (dev_tokens=3) -- jamais un pattern CEX valide, meme score eleve"
9RfUHPsdKx1eU8Y4EiDFHkzv8psfmLLcNhFa2Yk9mWcx,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 5 tokens seul (dev_tokens=5) -- jamais un pattern CEX valide, meme score eleve"
EQo5LpRacxe5Jd2cDDV8CP8kwetRjM98Hhn3n7VUrEL6,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 8 tokens seul (dev_tokens=8) -- jamais un pattern CEX valide, meme score eleve"
DN9LKrJffsCiTfFSKQR9CzBN6xNRot4SesZd9Fp34YHE,,createur,2026-08-06,100,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 3 tokens seul (dev_tokens=3) -- jamais un pattern CEX valide, meme score eleve"
EnVLuTsWE5xB6wBWBBjux9gVqoxnkEVv7dkGBmLY8rS1,,createur,2026-08-06,100,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 3 tokens seul (dev_tokens=3) -- jamais un pattern CEX valide, meme score eleve"
BTx78QUoq3FoQdFuGYhPKCFNf47TSkpdGDB4u8nNyLsL,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 3 tokens seul (dev_tokens=3) -- jamais un pattern CEX valide, meme score eleve"
